id,parent,name,level,hid,iso639_3,latitude,longitude,macroareas,countries,timespan,branch,parent_name,id.1,family,family_id,macroarea,nr_macroarea,Genus.wals,Area.autotyp,Family.wals
baru1267,baru1271,Baruya,language,byr,byr,-6.89261,145.818,['Papunesia'],['Papua New Guinea'],,Baruya-Simbari,Baruya-Simbari,baru1267,Angan,anga1289,Papunesia,1,Nuclear Angan,Interior New Guinea,Trans-New Guinea
safe1240,nort3145,Safeyoka,language,apz,apz,-7.05417,146.09,['Papunesia'],['Papua New Guinea'],,Wojokesic,Wojokesic,safe1240,Angan,anga1289,Papunesia,1,Nuclear Angan,Interior New Guinea,Trans-New Guinea
anka1246,sout3130,Ankave,language,aak,aak,-7.19444,145.754,['Papunesia'],['Papua New Guinea'],,Ankave-Tainae-Akoye,Ankave-Tainae-Akoye,anka1246,Angan,anga1289,Papunesia,1,,,
mapu1245,arau1255,Mapudungun,language,arn,arn,-38.7392,-71.277,['South America'],"['Argentina', 'Chile']",,,Araucanian,mapu1245,Araucanian,arau1255,South America,1,Araucanian,Andean,Araucanian
gari1256,isla1279,Garifuna,language,cab,cab,15.3529,-86.9091,['North America'],"['Belize', 'Guatemala', 'Honduras', 'Nicaragua']",,Island Carib-Garifuna,Island Carib-Garifuna,gari1256,Arawakan,araw1281,North America,1,Antillean Arawakan,Mesoamerica,Arawakan
wayu1243,guaj1257,Wayuu,language,guc,guc,11.395566,-72.199791,['South America'],"['Colombia', 'Venezuela, Bolivarian Republic of']",,Guajiro-Paraujano,Guajiro-Paraujano,wayu1243,Arawakan,araw1281,South America,1,Guajiro-Paraujano,NE South America,Arawakan
pare1272,pare1273,Parecís,language,pab,pab,-14.5929,-57.4059,['South America'],['Brazil'],,Xaray,Xaray,pare1272,Arawakan,araw1281,South America,1,Central Arawakan,NE South America,Arawakan
acha1250,piap1247,Achagua,language,aca,aca,4.38649,-72.2005,['South America'],['Colombia'],,Piapoco-Achagua,Piapoco-Achagua,acha1250,Arawakan,araw1281,South America,1,Japura-Colombia,NE South America,Arawakan
piap1246,piap1247,Piapoco,language,pio,pio,4.37718,-68.5953,['South America'],"['Colombia', 'Venezuela, Bolivarian Republic of']",,Piapoco-Achagua,Piapoco-Achagua,piap1246,Arawakan,araw1281,South America,1,Japura-Colombia,NE South America,Arawakan
yucu1253,yucu1252,Yucuna,language,ycn,ycn,-0.76075,-71.0033,['South America'],"['Brazil', 'Colombia', 'Peru']",,Caqueta,Caqueta,yucu1253,Arawakan,araw1281,South America,1,Japura-Colombia,NE South America,Arawakan
